GENERATION_PROJECT,gen_dbid,gen_tech,gen_energy_source,gen_load_zone,gen_max_age,gen_is_variable,gen_is_flexible_baseload,gen_is_baseload,gen_can_provide_spinning_reserves,gen_can_provide_quickstart_reserves,gen_full_load_heat_rate,gen_variable_om,gen_connect_cost_per_mw,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_capacity_limit_mw,gen_min_build_capacity,gen_is_cogen,gen_storage_efficiency,gen_min_load_fraction,gen_is_pumped_hydro,gen_storage_energy_to_power_ratio
Anhui-Central_PV_EP-ep-50143,existing.50143,Central_PV_EP,Solar,Anhui,20,True,False,False,True,False,.,0.0,0,0.0,0.02,5424.9,0,False,.,0.0,False,.
Anhui-Central_PV_EP-ep-50173,existing.50173,Central_PV_EP,Solar,Anhui,20,True,False,False,True,False,.,0.0,0,0.0,0.02,4,0,False,.,0.0,False,.
Anhui-Coal_1000_OT-12107,new.12107,Coal_1000_OT,Coal,Anhui,40,False,True,False,False,False,7.88,5.0,300,0.32,0.05,.,0,False,.,0.4,False,.
Anhui-Coal_1000_RC-12115,new.12115,Coal_1000_RC,Coal,Anhui,40,False,True,False,False,False,7.88,5.0,300,0.32,0.05,.,0,False,.,0.4,False,.
Anhui-Coal_1000_RC-12125,new.12125,Coal_1000_RC,Coal,Anhui,40,False,True,False,False,False,7.88,5.0,300,0.32,0.05,.,0,False,.,0.4,False,.
Anhui-Coal_100_RC-ep-1231,existing.1231,Coal_100_RC,Coal,Anhui,30,False,True,False,False,False,9.06,3.0,0,0.52,0.05,210,0,False,.,0.4,False,.
Anhui-Coal_100_RC-ep-1233,existing.1233,Coal_100_RC,Coal,Anhui,30,False,True,False,False,False,9.06,3.0,0,0.52,0.05,135,0,False,.,0.4,False,.
Anhui-Coal_100_RC-ep-1234,existing.1234,Coal_100_RC,Coal,Anhui,30,False,True,False,False,False,9.06,3.0,0,0.52,0.05,135,0,False,.,0.4,False,.
Anhui-Coal_100_RC-ep-1235,existing.1235,Coal_100_RC,Coal,Anhui,30,False,True,False,False,False,9.06,3.0,0,0.52,0.05,135,0,False,.,0.4,False,.
Anhui-Coal_100_RC-ep-1236,existing.1236,Coal_100_RC,Coal,Anhui,30,False,True,False,False,False,9.06,3.0,0,0.52,0.05,135,0,False,.,0.4,False,.
Anhui-Coal_100_RC-ep-1237,existing.1237,Coal_100_RC,Coal,Anhui,30,False,True,False,False,False,9.06,3.0,0,0.52,0.05,135,0,False,.,0.4,False,.
Anhui-Coal_100_RC-ep-1238,existing.1238,Coal_100_RC,Coal,Anhui,30,False,True,False,False,False,9.06,3.0,0,0.52,0.05,135,0,False,.,0.4,False,.
Anhui-Coal_100_RC-ep-1239,existing.1239,Coal_100_RC,Coal,Anhui,30,False,True,False,False,False,9.06,3.0,0,0.52,0.05,135,0,False,.,0.4,False,.
Anhui-Coal_100_RC-ep-1241,existing.1241,Coal_100_RC,Coal,Anhui,30,False,True,False,False,False,9.06,3.0,0,0.52,0.05,111,0,False,.,0.4,False,.
Anhui-Coal_300_OT-12111,new.12111,Coal_300_OT,Coal,Anhui,35,False,True,False,False,False,8.92,5.0,300,0.37,0.05,.,0,False,.,0.4,False,.
Anhui-Coal_300_RC-12119,new.12119,Coal_300_RC,Coal,Anhui,35,False,True,False,False,False,8.92,5.0,300,0.37,0.05,.,0,False,.,0.4,False,.
Anhui-Coal_300_RC-12129,new.12129,Coal_300_RC,Coal,Anhui,35,False,True,False,False,False,8.92,5.0,300,0.37,0.05,.,0,False,.,0.4,False,.
Anhui-Coal_600_OT-12109,new.12109,Coal_600_OT,Coal,Anhui,40,False,True,False,False,False,8.45,5.0,300,0.34,0.05,.,0,False,.,0.4,False,.
Anhui-Coal_600_RC-12117,new.12117,Coal_600_RC,Coal,Anhui,40,False,True,False,False,False,8.45,5.0,300,0.34,0.05,.,0,False,.,0.4,False,.
Anhui-Coal_600_RC-12127,new.12127,Coal_600_RC,Coal,Anhui,40,False,True,False,False,False,8.45,5.0,300,0.34,0.05,.,0,False,.,0.4,False,.
Anhui-Coal_IGCC_RC-12121,new.12121,Coal_IGCC_RC,Coal,Anhui,40,False,True,False,False,False,8.89,5.0,300,0.52,0.05,.,0,False,.,0.4,False,.
Anhui-Coal_IGCC_RC-12131,new.12131,Coal_IGCC_RC,Coal,Anhui,40,False,True,False,False,False,8.89,5.0,300,0.52,0.05,.,0,False,.,0.4,False,.
Anhui-Coal_Small_RC-ep-1157,existing.1157,Coal_Small_RC,Coal,Anhui,30,False,True,False,False,False,9.68,3.0,0,0.52,0.05,974.6,0,False,.,0.4,False,.
Anhui-Coal_Small_RC-ep-1199,existing.1199,Coal_Small_RC,Coal,Anhui,30,False,True,False,False,False,9.68,3.0,0,0.52,0.05,517.35,0,False,.,0.4,False,.
Anhui-Coal_Small_RC-ep-1232,existing.1232,Coal_Small_RC,Coal,Anhui,30,False,True,False,False,False,9.68,3.0,0,0.52,0.05,170,0,False,.,0.4,False,.
Anhui-Coal_Small_RC-ep-1242,existing.1242,Coal_Small_RC,Coal,Anhui,30,False,True,False,False,False,9.68,3.0,0,0.52,0.05,30,0,False,.,0.4,False,.
Anhui-Commercial_PV-2,new.2,Commercial_PV,Solar,Anhui,20,True,False,False,True,False,.,0.0,0,0.0,0.02,1133.333333,0,False,.,0.0,False,.
Anhui-Commercial_PV-3,new.3,Commercial_PV,Solar,Anhui,20,True,False,False,True,False,.,0.0,0,0.0,0.02,1133.333333,0,False,.,0.0,False,.
Anhui-Commercial_PV-4,new.4,Commercial_PV,Solar,Anhui,20,True,False,False,True,False,.,0.0,0,0.0,0.02,1133.333333,0,False,.,0.0,False,.
Anhui-EP_Coal_1000_OT-ep-3093,existing.3093,EP_Coal_1000_OT,Coal,Anhui,40,False,True,False,False,False,7.66,3.0,0,0.32,0.05,1000,0,False,.,0.4,False,.
Anhui-EP_Coal_1000_RC-ep-1152,existing.1152,EP_Coal_1000_RC,Coal,Anhui,40,False,True,False,False,False,7.66,3.0,0,0.32,0.05,1050,0,False,.,0.4,False,.
Anhui-EP_Coal_1000_RC-ep-1153,existing.1153,EP_Coal_1000_RC,Coal,Anhui,40,False,True,False,False,False,7.66,3.0,0,0.32,0.05,1000,0,False,.,0.4,False,.
Anhui-EP_Coal_1000_RC-ep-1154,existing.1154,EP_Coal_1000_RC,Coal,Anhui,40,False,True,False,False,False,7.66,3.0,0,0.32,0.05,1000,0,False,.,0.4,False,.
Anhui-EP_Coal_1000_RC-ep-1155,existing.1155,EP_Coal_1000_RC,Coal,Anhui,40,False,True,False,False,False,7.66,3.0,0,0.32,0.05,1000,0,False,.,0.4,False,.
Anhui-EP_Coal_1000_RC-ep-1156,existing.1156,EP_Coal_1000_RC,Coal,Anhui,40,False,True,False,False,False,7.66,3.0,0,0.32,0.05,1000,0,False,.,0.4,False,.
Anhui-EP_Coal_1000_RC-ep-3094,existing.3094,EP_Coal_1000_RC,Coal,Anhui,40,False,True,False,False,False,7.66,3.0,0,0.32,0.05,1000,0,False,.,0.4,False,.
Anhui-EP_Coal_1000_RC-ep-3095,existing.3095,EP_Coal_1000_RC,Coal,Anhui,40,False,True,False,False,False,7.66,3.0,0,0.32,0.05,1000,0,False,.,0.4,False,.
Anhui-EP_Coal_1000_RC-ep-3096,existing.3096,EP_Coal_1000_RC,Coal,Anhui,40,False,True,False,False,False,7.66,3.0,0,0.32,0.05,1000,0,False,.,0.4,False,.
Anhui-EP_Coal_300_OT-ep-1206,existing.1206,EP_Coal_300_OT,Coal,Anhui,35,False,True,False,False,False,8.53,3.0,0,0.37,0.05,330,0,False,.,0.4,False,.
Anhui-EP_Coal_300_OT-ep-1207,existing.1207,EP_Coal_300_OT,Coal,Anhui,35,False,True,False,False,False,8.53,3.0,0,0.37,0.05,330,0,False,.,0.4,False,.
Anhui-EP_Coal_300_OT-ep-1208,existing.1208,EP_Coal_300_OT,Coal,Anhui,35,False,True,False,False,False,8.53,3.0,0,0.37,0.05,330,0,False,.,0.4,False,.
Anhui-EP_Coal_300_OT-ep-1209,existing.1209,EP_Coal_300_OT,Coal,Anhui,35,False,True,False,False,False,8.53,3.0,0,0.37,0.05,330,0,False,.,0.4,False,.
Anhui-EP_Coal_300_OT-ep-1218,existing.1218,EP_Coal_300_OT,Coal,Anhui,35,False,True,False,False,False,8.53,3.0,0,0.37,0.05,320,0,False,.,0.4,False,.
Anhui-EP_Coal_300_OT-ep-1219,existing.1219,EP_Coal_300_OT,Coal,Anhui,35,False,True,False,False,False,8.53,3.0,0,0.37,0.05,320,0,False,.,0.4,False,.
Anhui-EP_Coal_300_OT-ep-1220,existing.1220,EP_Coal_300_OT,Coal,Anhui,35,False,True,False,False,False,8.53,3.0,0,0.37,0.05,320,0,False,.,0.4,False,.
Anhui-EP_Coal_300_OT-ep-1221,existing.1221,EP_Coal_300_OT,Coal,Anhui,35,False,True,False,False,False,8.53,3.0,0,0.37,0.05,320,0,False,.,0.4,False,.
Anhui-EP_Coal_300_RC-ep-1200,existing.1200,EP_Coal_300_RC,Coal,Anhui,35,False,True,False,False,False,8.53,3.0,0,0.37,0.05,350,0,False,.,0.4,False,.
Anhui-EP_Coal_300_RC-ep-1201,existing.1201,EP_Coal_300_RC,Coal,Anhui,35,False,True,False,False,False,8.53,3.0,0,0.37,0.05,350,0,False,.,0.4,False,.
Anhui-EP_Coal_300_RC-ep-1202,existing.1202,EP_Coal_300_RC,Coal,Anhui,35,False,True,False,False,False,8.53,3.0,0,0.37,0.05,350,0,False,.,0.4,False,.
Anhui-EP_Coal_300_RC-ep-1203,existing.1203,EP_Coal_300_RC,Coal,Anhui,35,False,True,False,False,False,8.53,3.0,0,0.37,0.05,350,0,False,.,0.4,False,.
Anhui-EP_Coal_300_RC-ep-1204,existing.1204,EP_Coal_300_RC,Coal,Anhui,35,False,True,False,False,False,8.53,3.0,0,0.37,0.05,330,0,False,.,0.4,False,.
Anhui-EP_Coal_300_RC-ep-1205,existing.1205,EP_Coal_300_RC,Coal,Anhui,35,False,True,False,False,False,8.53,3.0,0,0.37,0.05,330,0,False,.,0.4,False,.
Anhui-EP_Coal_300_RC-ep-1210,existing.1210,EP_Coal_300_RC,Coal,Anhui,35,False,True,False,False,False,8.53,3.0,0,0.37,0.05,320,0,False,.,0.4,False,.
Anhui-EP_Coal_300_RC-ep-1211,existing.1211,EP_Coal_300_RC,Coal,Anhui,35,False,True,False,False,False,8.53,3.0,0,0.37,0.05,320,0,False,.,0.4,False,.
Anhui-EP_Coal_300_RC-ep-1212,existing.1212,EP_Coal_300_RC,Coal,Anhui,35,False,True,False,False,False,8.53,3.0,0,0.37,0.05,320,0,False,.,0.4,False,.
Anhui-EP_Coal_300_RC-ep-1213,existing.1213,EP_Coal_300_RC,Coal,Anhui,35,False,True,False,False,False,8.53,3.0,0,0.37,0.05,320,0,False,.,0.4,False,.
Anhui-EP_Coal_300_RC-ep-1214,existing.1214,EP_Coal_300_RC,Coal,Anhui,35,False,True,False,False,False,8.53,3.0,0,0.37,0.05,320,0,False,.,0.4,False,.
Anhui-EP_Coal_300_RC-ep-1215,existing.1215,EP_Coal_300_RC,Coal,Anhui,35,False,True,False,False,False,8.53,3.0,0,0.37,0.05,320,0,False,.,0.4,False,.
Anhui-EP_Coal_300_RC-ep-1216,existing.1216,EP_Coal_300_RC,Coal,Anhui,35,False,True,False,False,False,8.53,3.0,0,0.37,0.05,320,0,False,.,0.4,False,.
Anhui-EP_Coal_300_RC-ep-1217,existing.1217,EP_Coal_300_RC,Coal,Anhui,35,False,True,False,False,False,8.53,3.0,0,0.37,0.05,320,0,False,.,0.4,False,.
Anhui-EP_Coal_300_RC-ep-1222,existing.1222,EP_Coal_300_RC,Coal,Anhui,35,False,True,False,False,False,8.53,3.0,0,0.37,0.05,300,0,False,.,0.4,False,.
Anhui-EP_Coal_300_RC-ep-1223,existing.1223,EP_Coal_300_RC,Coal,Anhui,35,False,True,False,False,False,8.53,3.0,0,0.37,0.05,300,0,False,.,0.4,False,.
Anhui-EP_Coal_300_RC-ep-1224,existing.1224,EP_Coal_300_RC,Coal,Anhui,35,False,True,False,False,False,8.53,3.0,0,0.37,0.05,300,0,False,.,0.4,False,.
Anhui-EP_Coal_300_RC-ep-1225,existing.1225,EP_Coal_300_RC,Coal,Anhui,35,False,True,False,False,False,8.53,3.0,0,0.37,0.05,300,0,False,.,0.4,False,.
Anhui-EP_Coal_300_RC-ep-1226,existing.1226,EP_Coal_300_RC,Coal,Anhui,35,False,True,False,False,False,8.53,3.0,0,0.37,0.05,300,0,False,.,0.4,False,.
Anhui-EP_Coal_300_RC-ep-1227,existing.1227,EP_Coal_300_RC,Coal,Anhui,35,False,True,False,False,False,8.53,3.0,0,0.37,0.05,300,0,False,.,0.4,False,.
Anhui-EP_Coal_300_RC-ep-1228,existing.1228,EP_Coal_300_RC,Coal,Anhui,35,False,True,False,False,False,8.53,3.0,0,0.37,0.05,300,0,False,.,0.4,False,.
Anhui-EP_Coal_300_RC-ep-1229,existing.1229,EP_Coal_300_RC,Coal,Anhui,35,False,True,False,False,False,8.53,3.0,0,0.37,0.05,300,0,False,.,0.4,False,.
Anhui-EP_Coal_600_OT-ep-1168,existing.1168,EP_Coal_600_OT,Coal,Anhui,40,False,True,False,False,False,7.93,3.0,0,0.34,0.05,660,0,False,.,0.4,False,.
Anhui-EP_Coal_600_OT-ep-1169,existing.1169,EP_Coal_600_OT,Coal,Anhui,40,False,True,False,False,False,7.93,3.0,0,0.34,0.05,660,0,False,.,0.4,False,.
Anhui-EP_Coal_600_OT-ep-1170,existing.1170,EP_Coal_600_OT,Coal,Anhui,40,False,True,False,False,False,7.93,3.0,0,0.34,0.05,660,0,False,.,0.4,False,.
Anhui-EP_Coal_600_OT-ep-1171,existing.1171,EP_Coal_600_OT,Coal,Anhui,40,False,True,False,False,False,7.93,3.0,0,0.34,0.05,660,0,False,.,0.4,False,.
Anhui-EP_Coal_600_OT-ep-1172,existing.1172,EP_Coal_600_OT,Coal,Anhui,40,False,True,False,False,False,7.93,3.0,0,0.34,0.05,660,0,False,.,0.4,False,.
Anhui-EP_Coal_600_OT-ep-1173,existing.1173,EP_Coal_600_OT,Coal,Anhui,40,False,True,False,False,False,7.93,3.0,0,0.34,0.05,660,0,False,.,0.4,False,.
Anhui-EP_Coal_600_OT-ep-1174,existing.1174,EP_Coal_600_OT,Coal,Anhui,40,False,True,False,False,False,7.93,3.0,0,0.34,0.05,660,0,False,.,0.4,False,.
Anhui-EP_Coal_600_OT-ep-1175,existing.1175,EP_Coal_600_OT,Coal,Anhui,40,False,True,False,False,False,7.93,3.0,0,0.34,0.05,660,0,False,.,0.4,False,.
Anhui-EP_Coal_600_OT-ep-1194,existing.1194,EP_Coal_600_OT,Coal,Anhui,40,False,True,False,False,False,7.93,3.0,0,0.34,0.05,630,0,False,.,0.4,False,.
Anhui-EP_Coal_600_OT-ep-1195,existing.1195,EP_Coal_600_OT,Coal,Anhui,40,False,True,False,False,False,7.93,3.0,0,0.34,0.05,630,0,False,.,0.4,False,.
Anhui-EP_Coal_600_RC-ep-1158,existing.1158,EP_Coal_600_RC,Coal,Anhui,40,False,True,False,False,False,7.93,3.0,0,0.34,0.05,660,0,False,.,0.4,False,.
Anhui-EP_Coal_600_RC-ep-1159,existing.1159,EP_Coal_600_RC,Coal,Anhui,40,False,True,False,False,False,7.93,3.0,0,0.34,0.05,660,0,False,.,0.4,False,.
Anhui-EP_Coal_600_RC-ep-1160,existing.1160,EP_Coal_600_RC,Coal,Anhui,40,False,True,False,False,False,7.93,3.0,0,0.34,0.05,660,0,False,.,0.4,False,.
Anhui-EP_Coal_600_RC-ep-1161,existing.1161,EP_Coal_600_RC,Coal,Anhui,40,False,True,False,False,False,7.93,3.0,0,0.34,0.05,660,0,False,.,0.4,False,.
Anhui-EP_Coal_600_RC-ep-1162,existing.1162,EP_Coal_600_RC,Coal,Anhui,40,False,True,False,False,False,7.93,3.0,0,0.34,0.05,660,0,False,.,0.4,False,.
Anhui-EP_Coal_600_RC-ep-1163,existing.1163,EP_Coal_600_RC,Coal,Anhui,40,False,True,False,False,False,7.93,3.0,0,0.34,0.05,660,0,False,.,0.4,False,.
Anhui-EP_Coal_600_RC-ep-1164,existing.1164,EP_Coal_600_RC,Coal,Anhui,40,False,True,False,False,False,7.93,3.0,0,0.34,0.05,660,0,False,.,0.4,False,.
Anhui-EP_Coal_600_RC-ep-1165,existing.1165,EP_Coal_600_RC,Coal,Anhui,40,False,True,False,False,False,7.93,3.0,0,0.34,0.05,660,0,False,.,0.4,False,.
Anhui-EP_Coal_600_RC-ep-1166,existing.1166,EP_Coal_600_RC,Coal,Anhui,40,False,True,False,False,False,7.93,3.0,0,0.34,0.05,660,0,False,.,0.4,False,.
Anhui-EP_Coal_600_RC-ep-1167,existing.1167,EP_Coal_600_RC,Coal,Anhui,40,False,True,False,False,False,7.93,3.0,0,0.34,0.05,660,0,False,.,0.4,False,.
Anhui-EP_Coal_600_RC-ep-1176,existing.1176,EP_Coal_600_RC,Coal,Anhui,40,False,True,False,False,False,7.93,3.0,0,0.34,0.05,640,0,False,.,0.4,False,.
Anhui-EP_Coal_600_RC-ep-1177,existing.1177,EP_Coal_600_RC,Coal,Anhui,40,False,True,False,False,False,7.93,3.0,0,0.34,0.05,640,0,False,.,0.4,False,.
Anhui-EP_Coal_600_RC-ep-1178,existing.1178,EP_Coal_600_RC,Coal,Anhui,40,False,True,False,False,False,7.93,3.0,0,0.34,0.05,640,0,False,.,0.4,False,.
Anhui-EP_Coal_600_RC-ep-1179,existing.1179,EP_Coal_600_RC,Coal,Anhui,40,False,True,False,False,False,7.93,3.0,0,0.34,0.05,640,0,False,.,0.4,False,.
Anhui-EP_Coal_600_RC-ep-1180,existing.1180,EP_Coal_600_RC,Coal,Anhui,40,False,True,False,False,False,7.93,3.0,0,0.34,0.05,640,0,False,.,0.4,False,.
Anhui-EP_Coal_600_RC-ep-1181,existing.1181,EP_Coal_600_RC,Coal,Anhui,40,False,True,False,False,False,7.93,3.0,0,0.34,0.05,640,0,False,.,0.4,False,.
Anhui-EP_Coal_600_RC-ep-1182,existing.1182,EP_Coal_600_RC,Coal,Anhui,40,False,True,False,False,False,7.93,3.0,0,0.34,0.05,630,0,False,.,0.4,False,.
Anhui-EP_Coal_600_RC-ep-1183,existing.1183,EP_Coal_600_RC,Coal,Anhui,40,False,True,False,False,False,7.93,3.0,0,0.34,0.05,630,0,False,.,0.4,False,.
Anhui-EP_Coal_600_RC-ep-1184,existing.1184,EP_Coal_600_RC,Coal,Anhui,40,False,True,False,False,False,7.93,3.0,0,0.34,0.05,630,0,False,.,0.4,False,.
Anhui-EP_Coal_600_RC-ep-1185,existing.1185,EP_Coal_600_RC,Coal,Anhui,40,False,True,False,False,False,7.93,3.0,0,0.34,0.05,630,0,False,.,0.4,False,.
Anhui-EP_Coal_600_RC-ep-1186,existing.1186,EP_Coal_600_RC,Coal,Anhui,40,False,True,False,False,False,7.93,3.0,0,0.34,0.05,630,0,False,.,0.4,False,.
Anhui-EP_Coal_600_RC-ep-1187,existing.1187,EP_Coal_600_RC,Coal,Anhui,40,False,True,False,False,False,7.93,3.0,0,0.34,0.05,630,0,False,.,0.4,False,.
Anhui-EP_Coal_600_RC-ep-1188,existing.1188,EP_Coal_600_RC,Coal,Anhui,40,False,True,False,False,False,7.93,3.0,0,0.34,0.05,630,0,False,.,0.4,False,.
Anhui-EP_Coal_600_RC-ep-1189,existing.1189,EP_Coal_600_RC,Coal,Anhui,40,False,True,False,False,False,7.93,3.0,0,0.34,0.05,630,0,False,.,0.4,False,.
Anhui-EP_Coal_600_RC-ep-1190,existing.1190,EP_Coal_600_RC,Coal,Anhui,40,False,True,False,False,False,7.93,3.0,0,0.34,0.05,630,0,False,.,0.4,False,.
Anhui-EP_Coal_600_RC-ep-1191,existing.1191,EP_Coal_600_RC,Coal,Anhui,40,False,True,False,False,False,7.93,3.0,0,0.34,0.05,630,0,False,.,0.4,False,.
Anhui-EP_Coal_600_RC-ep-1192,existing.1192,EP_Coal_600_RC,Coal,Anhui,40,False,True,False,False,False,7.93,3.0,0,0.34,0.05,630,0,False,.,0.4,False,.
Anhui-EP_Coal_600_RC-ep-1193,existing.1193,EP_Coal_600_RC,Coal,Anhui,40,False,True,False,False,False,7.93,3.0,0,0.34,0.05,630,0,False,.,0.4,False,.
Anhui-EP_Coal_600_RC-ep-1196,existing.1196,EP_Coal_600_RC,Coal,Anhui,40,False,True,False,False,False,7.93,3.0,0,0.34,0.05,600,0,False,.,0.4,False,.
Anhui-EP_Coal_600_RC-ep-1197,existing.1197,EP_Coal_600_RC,Coal,Anhui,40,False,True,False,False,False,7.93,3.0,0,0.34,0.05,600,0,False,.,0.4,False,.
Anhui-EP_Coal_600_RC-ep-1198,existing.1198,EP_Coal_600_RC,Coal,Anhui,40,False,True,False,False,False,7.93,3.0,0,0.34,0.05,600,0,False,.,0.4,False,.
Anhui-EP_Coal_600_RC-ep-3097,existing.3097,EP_Coal_600_RC,Coal,Anhui,40,False,True,False,False,False,7.93,3.0,0,0.34,0.05,660,0,False,.,0.4,False,.
Anhui-EP_Coal_600_RC-ep-3098,existing.3098,EP_Coal_600_RC,Coal,Anhui,40,False,True,False,False,False,7.93,3.0,0,0.34,0.05,660,0,False,.,0.4,False,.
Anhui-EP_Coal_600_RC-ep-3099,existing.3099,EP_Coal_600_RC,Coal,Anhui,40,False,True,False,False,False,7.93,3.0,0,0.34,0.05,660,0,False,.,0.4,False,.
Anhui-EP_Coal_600_RC-ep-3100,existing.3100,EP_Coal_600_RC,Coal,Anhui,40,False,True,False,False,False,7.93,3.0,0,0.34,0.05,660,0,False,.,0.4,False,.
Anhui-Gas_CCGT_OT-12113,new.12113,Gas_CCGT_OT,Gas,Anhui,20,False,False,False,True,True,6.47,2.0,300,0.65,0.0224,.,0,True,.,0.45,False,.
Anhui-Gas_CCGT_RC-12123,new.12123,Gas_CCGT_RC,Gas,Anhui,20,False,False,False,True,True,7.02,2.0,300,0.65,0.0224,.,0,True,.,0.45,False,.
Anhui-Gas_CCGT_RC-12133,new.12133,Gas_CCGT_RC,Gas,Anhui,20,False,False,False,True,True,7.02,2.0,300,0.65,0.0224,.,0,True,.,0.45,False,.
Anhui-Gas_Combustion_Turbine_RC-13107,new.13107,Gas_Combustion_Turbine_RC,Gas,Anhui,20,False,False,False,True,True,9.76,2.0,300,0.0318,0.0413,.,0,False,.,0.4,False,.
Anhui-Hydro_NonPumped-ep-30001,existing.30001,Hydro_NonPumped,Water,Anhui,100,False,False,False,True,True,.,0.0,3000,0.094,0.051,14.35,0,False,.,0.3,False,.
Anhui-Hydro_NonPumped-ep-30032,existing.30032,Hydro_NonPumped,Water,Anhui,100,False,False,False,True,True,.,0.0,3000,0.094,0.051,9.18,0,False,.,0.3,False,.
Anhui-Hydro_NonPumped-ep-30063,existing.30063,Hydro_NonPumped,Water,Anhui,100,False,False,False,True,True,.,0.0,3000,0.094,0.051,10.7,0,False,.,0.3,False,.
Anhui-Hydro_NonPumped-ep-30094,existing.30094,Hydro_NonPumped,Water,Anhui,100,False,False,False,True,True,.,0.0,3000,0.094,0.051,12.84,0,False,.,0.3,False,.
Anhui-Hydro_NonPumped-ep-30125,existing.30125,Hydro_NonPumped,Water,Anhui,100,False,False,False,True,True,.,0.0,3000,0.094,0.051,7.31,0,False,.,0.3,False,.
Anhui-Hydro_NonPumped-ep-30156,existing.30156,Hydro_NonPumped,Water,Anhui,100,False,False,False,True,True,.,0.0,3000,0.094,0.051,9.98,0,False,.,0.3,False,.
Anhui-Hydro_NonPumped-ep-30187,existing.30187,Hydro_NonPumped,Water,Anhui,100,False,False,False,True,True,.,0.0,3000,0.094,0.051,23.62,0,False,.,0.3,False,.
Anhui-Hydro_NonPumped-ep-30218,existing.30218,Hydro_NonPumped,Water,Anhui,100,False,False,False,True,True,.,0.0,3000,0.094,0.051,22.38,0,False,.,0.3,False,.
Anhui-Hydro_NonPumped-ep-30249,existing.30249,Hydro_NonPumped,Water,Anhui,100,False,False,False,True,True,.,0.0,3000,0.094,0.051,16.76,0,False,.,0.3,False,.
Anhui-Hydro_NonPumped-ep-30280,existing.30280,Hydro_NonPumped,Water,Anhui,100,False,False,False,True,True,.,0.0,3000,0.094,0.051,13.1,0,False,.,0.3,False,.
Anhui-Hydro_NonPumped-ep-30311,existing.30311,Hydro_NonPumped,Water,Anhui,100,False,False,False,True,True,.,0.0,3000,0.094,0.051,16.31,0,False,.,0.3,False,.
Anhui-Hydro_NonPumped-ep-30342,existing.30342,Hydro_NonPumped,Water,Anhui,100,False,False,False,True,True,.,0.0,3000,0.094,0.051,24.96,0,False,.,0.3,False,.
Anhui-Hydro_NonPumped-ep-30373,existing.30373,Hydro_NonPumped,Water,Anhui,100,False,False,False,True,True,.,0.0,3000,0.094,0.051,34.86,0,False,.,0.3,False,.
Anhui-Hydro_NonPumped-ep-30404,existing.30404,Hydro_NonPumped,Water,Anhui,100,False,False,False,True,True,.,0.0,3000,0.094,0.051,39.85,0,False,.,0.3,False,.
Anhui-Hydro_NonPumped-ep-30435,existing.30435,Hydro_NonPumped,Water,Anhui,100,False,False,False,True,True,.,0.0,3000,0.094,0.051,27.81,0,False,.,0.3,False,.
Anhui-Hydro_NonPumped-ep-30466,existing.30466,Hydro_NonPumped,Water,Anhui,100,False,False,False,True,True,.,0.0,3000,0.094,0.051,30.31,0,False,.,0.3,False,.
